ibge7;Município;Proporção da população atendida pela Estratégia de Saúde da Família;Cobertura vacinal contra poliomielite em menores de 1 ano;Cobertura vacinal de tríplice viral da população de 1 ano de idade;Cobertura vacinal de febre amarela em menores de 1 ano
3127370;Goiabeira;100;82,35;70,59;78,43
3127388;Goianá;72,06;100;145,45;157,58
3127404;Gonçalves;100;139,39;100;112,12
3127503;Gonzaga;100;122,67;106,67;116
3127602;Gouveia;100;87,84;90,54;77,03
3127701;Governador Valadares;62,4;77,07;81,3;61,99
3127800;Grão Mogol;100;125,17;113,25;121,19
3127909;Grupiara;100;240;300;240
3128006;Guanhães;91,47;84,01;83,58;86,35
3128105;Guapé;100;113,53;117,29;116,54
3128204;Guaraciaba;100;110,71;136,9;120,24
3128253;Guaraciama;100;140;154;142
3128303;Guaranésia;90,71;100,87;111,35;96,07
3128402;Guarani;100;110,11;141,57;103,37
3128501;Guarará;100;141,67;138,89;163,89
3128600;Guarda-Mor;100;79,8;85,86;62,63
3128709;Guaxupé;58,52;72,63;79,88;72,93
3128808;Guidoval;100;132,91;107,59;136,71
3128907;Guimarânia;100;108,91;132,67;117,82
3129004;Guiricema;100;97,3;143,24;117,57
3129103;Gurinhatã;100;183,87;170,97;190,32
3129202;Heliodora;100;81,08;87,84;86,49
3129301;Iapu;100;115,57;130,33;133,61
3129400;Ibertioga;100;92,42;78,79;74,24
3129509;Ibiá;77,1;84,03;88,89;86,11
3129608;Ibiaí;100;78,1;52,38;58,1
3129657;Ibiracatu;100;85,54;84,34;85,54
3129707;Ibiraci;82,23;106,04;114,77;109,4
3129806;Ibirité;71,66;94,05;99,73;82,82
3129905;Ibitiúra de Minas;74,1;39,62;77,36;43,4
3130002;Ibituruna;100;91,67;175;112,5
3130051;Icaraí de Minas;100;91,96;78,57;91,07
3130101;Igarapé;74,8;104,59;102,47;92,93
3130200;Igaratinga;100;106,67;109,63;106,67
3130309;Iguatama;100;98,63;126,03;110,96
3130408;Ijaci;95,69;126,25;125;113,75
3130507;Ilicínea;100;114,19;122,97;116,89
3130556;Imbé de Minas;100;79,17;77,08;71,88
3130606;Inconfidentes;100;114,29;111,11;117,46
3130655;Indaiabira;100;71,23;82,19;61,64
3130705;Indianópolis;100;118,06;116,67;112,5
3130804;Ingaí;100;90;90;73,33
3130903;Inhapim;100;91,41;108,98;96,88
3131000;Inhaúma;100;107,69;121,79;105,13
3131109;Inimutaba;100;118,18;124,24;110,61
3131158;Ipaba;100;100;97,89;92,41
3131208;Ipanema;100;86,51;100;77,78
3131307;Ipatinga;58,39;99,47;106,16;96,77
3131406;Ipiaçu;100;125;125;111,11
3131505;Ipuiúna;85,24;92,16;105,88;118,63
3131604;Iraí de Minas;85,92;118,82;116,47;92,94
3131703;Itabira;75,62;77,89;85,69;69,73
3131802;Itabirinha;79,47;88,67;96,67;106,67
3131901;Itabirito;71,26;64,47;71,06;60,43
3132008;Itacambira;100;81,58;121,05;92,11
3132107;Itacarambi;100;58,67;77,12;67,9
3132206;Itaguara;100;100,6;97,59;95,18
3132305;Itaipé;100;93,41;100;96,15
3132404;Itajubá;53,46;94,66;105,01;94,83
3132503;Itamarandiba;90,52;81,37;100;75,17
3132602;Itamarati de Minas;100;126,32;139,47;97,37
3132701;Itambacuri;100;79,47;83,58;74,78
3132800;Itambé do Mato Dentro;100;152,63;121,05;163,16
3132909;Itamogi;100;113,68;129,91;121,37
3133006;Itamonte;100;95,29;98,95;92,15
3133105;Itanhandu;74,56;90,58;90,05;90,58
3133204;Itanhomi;100;81,18;77,65;81,18
3133303;Itaobim;100;56,97;64,75;71,31
3133402;Itapagipe;56,08;129,57;113,91;119,13
3133501;Itapecerica;84,55;75,12;87,32;74,63
3133600;Itapeva;87,29;114,39;126,62;130,22
3133709;Itatiaiuçu;100;131,75;76,98;84,92
3133758;Itaú de Minas;100;95,54;117,2;94,27
3133808;Itaúna;67,09;89,26;92,55;81,72
3133907;Itaverava;100;151,35;172,97;132,43
3134004;Itinga;99,52;90,38;85,9;91,67
3134103;Itueta;94,84;65,93;83,52;68,13
3134202;Ituiutaba;30,32;76,18;83,08;74,18
3134301;Itumirim;100;135,71;148,21;92,86
3134400;Iturama;57,95;88,6;79,8;72
3134509;Itutinga;100;180,56;141,67;147,22
3134608;Jaboticatubas;56,32;111,76;108,82;100,49
3134707;Jacinto;100;69,11;95,12;74,8
3134806;Jacuí;74,76;114,29;108,79;115,38
3134905;Jacutinga;58,02;80,58;103,96;87,41
3135001;Jaguaraçu;100;113,79;124,14;93,1
3135050;Jaíba;100;62,73;73,38;54,24
3135076;Jampruca;100;81,82;96,36;98,18
3135100;Janaúba;95,81;104,32;102,46;84,97
3135209;Januária;88,56;46,09;50,63;42,32
3135308;Japaraíba;100;95,52;105,97;111,94
3135357;Japonvar;100;99,07;116,82;90,65
3135407;Jeceaba;100;85,07;104,48;94,03
3135456;Jenipapo de Minas;100;21,35;25,84;42,7
3135506;Jequeri;100;124;149,6;113,6
3135605;Jequitaí;100;95,6;118,68;87,91
3135704;Jequitibá;100;165,96;165,96;138,3
3135803;Jequitinhonha;100;77,78;84,23;88,17
3135902;Jesuânia;100;74,6;71,43;76,19
3136009;Joaíma;100;93,19;100;93,19
3136108;Joanésia;100;179,41;182,35;158,82
3136207;João Monlevade;42,9;99,54;107,08;95,66
3136306;João Pinheiro;56,02;97,98;102,79;85,43
3136405;Joaquim Felício;100;102,08;108,33;95,83
3136504;Jordânia;100;97,32;105,36;100
3136520;José Gonçalves de Minas;100;43,33;45;53,33
3136579;Josenópolis;100;90,91;104,55;106,82
3136553;José Raydan;100;71,11;82,22;73,33
3136652;Juatuba;100;101,53;96,68;89,8
3136702;Juiz de Fora;48,34;57,42;63,92;55,21
3136801;Juramento;100;84;110;98
3136900;Juruaia;100;96,73;99,35;96,73
3136959;Juvenília;100;95,24;96,83;106,35
3137007;Ladainha;100;104;114,5;105,5
3137106;Lagamar;100;118,64;108,47;103,39
3137205;Lagoa da Prata;64,36;110,83;130;108,5
3137304;Lagoa dos Patos;100;134,21;178,95;157,89
3137403;Lagoa Dourada;88,03;103,95;100,66;88,82
3137502;Lagoa Formosa;100;100,92;96,79;92,2
3137536;Lagoa Grande;89,77;76,61;104,03;75
3137601;Lagoa Santa;88,89;92,07;109,29;91,95
3137700;Lajinha;86,61;74,11;89;68,28
3137809;Lambari;96,26;78,21;98,29;76,07
3137908;Lamim;100;100;115,15;93,94
3138005;Laranjal;100;65,08;58,73;53,97
3138104;Lassance;100;113,51;113,51;105,41
3138203;Lavras;46,64;66,81;73,35;58,73
3138302;Leandro ferreira;100;138,71;170,97;141,94
3138351;Leme do Prado;100;70,59;80,39;74,51
3138401;Leopoldina;83,56;73,73;81,72;66,97
3138500;Liberdade;100;76,19;102,38;80,95
3138609;Lima Duarte;100;76,79;75;75,6
3138625;Limeira do Oeste;100;80,34;88,89;85,47
3138658;Lontra;100;90,15;103,03;83,33
3138674;Luisburgo;100;58,56;29,73;56,76
3138682;Luislândia;100;78,82;91,76;70,59
3138708;Luminárias;84,59;104,76;83,33;78,57
3138807;Luz;94,48;150;161,7;147,34
3139003;Machado;61,01;104,49;111,91;102,54
3139102;Madre de Deus de Minas;100;86,67;105;81,67
3139201;Malacacheta;100;98,1;103,79;100,95
3139250;Mamonas;100;98,46;92,31;96,92
3139300;Manga;100;80,39;86,17;81,99
3139409;Manhuaçu;70,01;36,25;38,52;34,21
3139508;Manhumirim;88,26;92,69;94,62;81,54
3139607;Mantena;91,51;98,5;112,01;79,28
3139706;Maravilhas;100;125,37;152,24;114,93
3139805;Mar de Espanha;100;93,49;107,69;94,67
3139904;Maria da Fé;100;81,58;78,95;74,21
3140001;Mariana;65,2;109;101,56;102,04
3140100;Marilac;100;64,71;76,47;74,51
3140159;Mário Campos;95,72;100,96;99,04;109,62
3140209;Maripá de Minas;96,25;103,13;162,5;128,13
3140308;Marliéria;100;111,11;106,67;128,89
3140407;Marmelópolis;94,85;97,44;120,51;100
3140506;Martinho Campos;100;94,84;137,42;89,68
3140530;Martins Soares;100;147,27;151,82;125,45
3140555;Mata Verde;99,78;29,55;57,95;46,59
3140605;Materlândia;100;80,65;88,71;80,65
3140704;Mateus Leme;82,5;54,41;50;33,48
3171501;Mathias Lobato;90,44;108,82;114,71;105,88
3140803;Matias Barbosa;90,91;119,38;122,48;109,3
3140852;Matias Cardoso;100;84,16;100,99;102,97
3140902;Matipó;100;92,03;88,37;74,42
3141009;Mato Verde;100;107,09;104,96;110,64
3141108;Matozinhos;75,36;52,19;56,77;52,19
3141207;Matutina;100;110,42;102,08;110,42
3138906;Maxacalis;100;87,5;92,05;76,14
3141306;Medeiros;100;47,62;69,05;47,62
3141405;Medina;96,95;111,2;123,6;117,2
3141504;Mendes Pimentel;100;90,54;94,59;82,43
3141603;Mercês;100;82,18;76,24;74,26
3141702;Mesquita;100;100;112,28;131,58
3141801;Minas Novas;93,1;91,17;89,91;88,64
3141900;Minduri;100;71,74;110,87;91,3
3142007;Mirabela;100;79,35;86,96;71,2
3142106;Miradouro;100;152,17;192,75;171,01
3142205;Miraí;100;103,23;93,55;94,19
3142254;Miravânia;100;103,92;90,2;109,8
3142304;Moeda;100;143,9;163,41;146,34
3142403;Moema;100;160;172,31;136,92
3142502;Monjolos;100;85,71;121,43;96,43
3142601;Monsenhor Paulo;98,83;109,52;142,86;127,38
3142700;Montalvânia;100;100;98,99;91,46
3142809;Monte Alegre de Minas;81,23;50,18;64,87;56,63
3142908;Monte Azul;100;80,35;87,34;79,91
3143005;Monte Belo;100;92,09;98,56;94,24
3143104;Monte Carmelo;90,57;104,64;101,82;103,64
3143153;Monte Formoso;100;131,67;136,67;126,67
3143203;Monte Santo de Minas;100;69,38;65,07;52,15
3143302;Montes Claros;96,09;70,96;74,22;53,72
3143401;Monte Sião;72,98;113;109,87;94,17
3143450;Montezuma;100;93,1;90,8;85,06
3143500;Morada Nova de Minas;100;107,06;115,29;107,06
3143609;Morro da Garça;100;168,18;113,64;159,09
3143708;Morro do Pilar;100;41,46;85,37;70,73
3143807;Munhoz;100;140,74;146,3;133,33
3143906;Muriaé;85,15;84,63;95,06;77,87
3144003;Mutum;100;87,23;101,09;89,67
3144102;Muzambinho;100;93,54;94,68;90,49
3144201;Nacip Raydan;100;130,43;126,09;134,78
3144300;Nanuque;86,96;109,83;115,07;89,3
3144359;Naque;100;172,62;205,95;147,62
